Effect_ID,Paper_ID,Disease_Prevalence,Unit_Prevalence,DiseasePrev_SE,SourcePrev,Year,Month,SourceYear,Location,SourceLocation,Region_HoeghGuldberg,Region_Kleypas,Lat,Lon,SourceLatLon,SST_C,SourceTemp,Notes
EI0492,CD074,14,%,3.090909,Figure 2,2013,Feb,Figure 2,"Pickles Reef, Upper Florida Keys",Materials and Methods Study site and experimental nutrient treatments p545,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.001389,-80.415278,"Materials and Methods Study site and experimental nutrient treatments p545, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0493,CD074,28.36364,%,4,Figure 2,2013,Jun,Figure 2,"Pickles Reef, Upper Florida Keys",Materials and Methods Study site and experimental nutrient treatments p545,Caribbean & Gulf of Mexico,Caribbean/Atlantic,25.001389,-80.415278,"Materials and Methods Study site and experimental nutrient treatments p545, GoogleMaps",27.79,Discussion Nutrient-induced bleaching p552,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0494,CD075,0.26,%,0.11,Table 2,2012,May-Sep,Materials and Methods Coral monitoring surveys,Southeast Florida,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.225525,-80.078825,"Table 1 median site, GoogleMaps",,,
EI0495,CD075,0.51,%,0.23,Table 2,2013,May-Sep,Materials and Methods Coral monitoring surveys,Southeast Florida,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.225525,-80.078825,"Table 1 median site, GoogleMaps",,,
EI0496,CD075,1.24,%,0.34,Table 2,2014,May-Sep,Materials and Methods Coral monitoring surveys,Southeast Florida,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.225525,-80.078825,"Table 1 median site, GoogleMaps",,,
EI0497,CD075,1.49,%,0.35,Table 2,2015,May-Sep,Materials and Methods Coral monitoring surveys,Southeast Florida,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.225525,-80.078825,"Table 1 median site, GoogleMaps",,,
EI0498,CD075,3.29,%,0.6,Table 2,2016,May-Sep,Materials and Methods Coral monitoring surveys,Southeast Florida,Figure 1,Caribbean & Gulf of Mexico,Caribbean/Atlantic,26.225525,-80.078825,"Table 1 median site, GoogleMaps",,,
EI0499,CD076,5.7,%,0.8,Results p26,2002,0,Results p26,"Akumal, Mexico",Materials and Methods p24,Caribbean & Gulf of Mexico,Caribbean/Atlantic,20.60749,-87.34901,GoogleMaps Akumal Mexico,,,
EI0500,CD076,7.96,%,0.7,Results p26,2004,0,Results p26,"Akumal, Mexico",Materials and Methods p24,Caribbean & Gulf of Mexico,Caribbean/Atlantic,20.60749,-87.34901,GoogleMaps Akumal Mexico,,,
EI0501,CD077,9.7,%,,Table 2,2010,Sep,Materials and Methods p164,"Zamami, Ryukyu Archipelago, Japan",Table 2,Western Pacific,Southeast Asia,26.2015,127.320833,"Materials and Method p164 first coordinates, GoogleMaps",,,
EI0502,CD077,3.6,%,,Table 2,2010,Sep,Materials and Methods p164,"Ooyama, Ryukyu Archipelago, Japan",Table 2,Western Pacific,Southeast Asia,26.2985,127.721667,"Materials and Method p164 first coordinates, GoogleMaps",,,
EI0503,CD078,2.157895,%,0.5789474,Figure 2,2016,Nov-Jan,Methods Sampling location and data collection,"Southern Eleuthera, The Bahamas",Methods Sampling location and data collection,Caribbean & Gulf of Mexico,Caribbean/Atlantic,24.749246,-76.261838,"Figure 1, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 33"
EI0504,CD079,20.5,%,0.7,Results 3.1. Spatial patterns of P. lobata growth anomalies and coral cover,2013,Jun-Jul,Methods 2.3. Enterococci assays,"Puako region, Hawaii",Methods 2.1. The Puako region and study sites,Western Pacific,Polynesia,19.95195,-155.87206,"GoogleMaps Puako, HI",,,
,CD080,25,%,,p1,2014,Nov,p1,"Ohshima Island, Japan",p1,Western Pacific,Southeast Asia,31.516667,131.4,"p1, GoogleMaps",,,
EI0505,CD081,4.347826,%,2.839988,Figure 4,2008,Oct,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",29.54,Table 3,"Prevalence extracted using MetaDigitise in Rstudio, n = 6"
EI0506,CD081,5,%,4.891304,Figure 4,2010,Feb,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",27,Table 3,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0507,CD081,16.086957,%,5.89367,Figure 4,2010,Sep,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",29.51,Table 3,"Prevalence extracted using MetaDigitise in Rstudio, n = 15"
EI0508,CD081,14.565217,%,4.125119,Figure 4,2012,Sep,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",29.02,Table 3,"Prevalence extracted using MetaDigitise in Rstudio, n = 14"
EI0509,CD081,1.73913,%,1.069424,Figure 4,2014,Sep,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 5"
EI0510,CD081,5.652174,%,4.673913,Figure 4,2015,Mar,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0511,CD081,4.347826,%,2.30749,Figure 4,2016,Mar,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 6"
EI0512,CD081,0,%,0,Figure 4,2016,Sep,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0513,CD081,1.521739,%,1.195652,Figure 4,2017,Feb,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 4"
EI0514,CD081,6.304348,%,1.278206,Figure 4,2017,Sep-Oct,Table 2,"Playa Lechi, Kralendijk, Bonaire",Materials and methods Study site p3,Caribbean & Gulf of Mexico,Caribbean/Atlantic,12.160167,-68.282028,"Materials and methods Study site p3, GoogleMaps",,,"Prevalence extracted using MetaDigitise in Rstudio, n = 14"
EI0515,CD082,2.702703,%,0.6756757,Figure 4,2003,0,Materials and Methods Methods p223,"Enrique, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.9443,-67.036883,Materials and Methods Study area p222,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0516,CD082,1.081081,%,0.2702703,Figure 4,2004,0,Materials and Methods Methods p223,"Enrique, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.9443,-67.036883,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0517,CD082,8.243243,%,1.4864865,Figure 4,2005,0,Materials and Methods Methods p223,"Enrique, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.9443,-67.036883,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0518,CD082,16.081081,%,1.4864865,Figure 4,2006,0,Materials and Methods Methods p223,"Enrique, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.9443,-67.036883,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0519,CD082,4.72973,%,0.4054054,Figure 4,2007,0,Materials and Methods Methods p223,"Enrique, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.9443,-67.036883,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0520,CD082,2.567568,%,0.6756757,Figure 4,2003,0,Materials and Methods Methods p223,"Pelotas, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.957367,-67.0696,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0521,CD082,3.513514,%,0.6756757,Figure 4,2004,0,Materials and Methods Methods p223,"Pelotas, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.957367,-67.0696,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0522,CD082,5.810811,%,0.9459459,Figure 4,2005,0,Materials and Methods Methods p223,"Pelotas, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.957367,-67.0696,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0523,CD082,10.675676,%,1.7567568,Figure 4,2006,0,Materials and Methods Methods p223,"Pelotas, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.957367,-67.0696,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0524,CD082,8.108108,%,1.0810811,Figure 4,2007,0,Materials and Methods Methods p223,"Pelotas, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.957367,-67.0696,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0525,CD082,4.459459,%,0.8108108,Figure 4,2003,0,Materials and Methods Methods p223,"Turrumote, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.93495,-67.018833,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0526,CD082,7.162162,%,0.9459459,Figure 4,2004,0,Materials and Methods Methods p223,"Turrumote, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.93495,-67.018833,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0527,CD082,10.810811,%,2.027027,Figure 4,2005,0,Materials and Methods Methods p223,"Turrumote, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.93495,-67.018833,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0528,CD082,25.405405,%,2.5675676,Figure 4,2006,0,Materials and Methods Methods p223,"Turrumote, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.93495,-67.018833,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0529,CD082,20.405405,%,2.1621622,Figure 4,2007,0,Materials and Methods Methods p223,"Turrumote, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.93495,-67.018833,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0530,CD082,3.378378,%,0.5405405,Figure 4,2003,0,Materials and Methods Methods p223,"Media Luna, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.934883,-67.04885,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0531,CD082,3.783784,%,0.5405405,Figure 4,2004,0,Materials and Methods Methods p223,"Media Luna, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.934883,-67.04885,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0532,CD082,10.540541,%,1.8918919,Figure 4,2005,0,Materials and Methods Methods p223,"Media Luna, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.934883,-67.04885,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0533,CD082,20.135135,%,1.8918919,Figure 4,2006,0,Materials and Methods Methods p223,"Media Luna, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.934883,-67.04885,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0534,CD082,12.432432,%,1.0810811,Figure 4,2007,0,Materials and Methods Methods p223,"Media Luna, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.934883,-67.04885,,,,"Prevalence extracted using MetaDigitise in Rstudio, n = 32"
EI0535,CD082,9.2,%,0.6,Figure 4,2003,0,Materials and Methods Methods p223,"Weinberg, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.890483,-66.988667,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0536,CD082,2.2,%,0.2,Figure 4,2004,0,Materials and Methods Methods p223,"Weinberg, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.890483,-66.988667,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0537,CD082,4.4,%,0.6,Figure 4,2005,0,Materials and Methods Methods p223,"Weinberg, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.890483,-66.988667,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0538,CD082,11,%,2,Figure 4,2006,0,Materials and Methods Methods p223,"Weinberg, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.890483,-66.988667,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0539,CD082,8.8,%,2.6,Figure 4,2007,0,Materials and Methods Methods p223,"Weinberg, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.890483,-66.988667,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0540,CD082,10.4,%,0.8,Figure 4,2003,0,Materials and Methods Methods p223,"Buoy, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.889667,-66.984833,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0541,CD082,1.6,%,0.2,Figure 4,2004,0,Materials and Methods Methods p223,"Buoy, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.889667,-66.984833,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0542,CD082,5.4,%,1,Figure 4,2005,0,Materials and Methods Methods p223,"Buoy, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.889667,-66.984833,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0543,CD082,9.8,%,1.2,Figure 4,2006,0,Materials and Methods Methods p223,"Buoy, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.889667,-66.984833,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0544,CD082,3.4,%,0.6,Figure 4,2007,0,Materials and Methods Methods p223,"Buoy, La Parguera, Puerto Rico",Materials and Methods Study area p222,Caribbean & Gulf of Mexico,Caribbean/Atlantic,17.889667,-66.984833,,,,"Prevalence extracted using MetaDigitise in R, n = 32"
EI0545,CD083,0,%,0,Figure 6b,2007,Oct,Figure 6b,"Atol das Rocas, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-33.816667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 54"
EI0546,CD083,6.857143,%,1.224832,Figure 6b,2010,Mar,Figure 6b,"Atol das Rocas, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-33.816667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 18"
EI0547,CD083,29.857143,%,2.763285,Figure 6b,2010,Dec,Figure 6b,"Atol das Rocas, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-33.816667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 54"
EI0548,CD083,1.65493,%,0.3358438,Figure 6d,2008,Sep,Figure 6d,"Fernando de Noronha, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-32.416667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 30"
EI0549,CD083,1.161972,%,0.2746776,Figure 6d,2009,Nov,Figure 6d,"Fernando de Noronha, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-32.416667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 30"
EI0550,CD083,12.271127,%,2.5528396,Figure 6d,2010,Nov,Figure 6d,"Fernando de Noronha, Brazil",Figure 1,XXXX,Caribbean/Atlantic,-3.85,-32.416667,Methods Coral dataset p443,,,"Prevalence extracted using MetaDigitise in R, n = 24"
EI0551,CD084,3.1,%,0.6,Results Impact of dredging on coral disease prevalence,2011,Dec,Methods Coral health and community composition surveys,"Montebello and Barrow Islands, Western Australia",Figure 1,Eastern Indian Ocean,Australia,-20.60599,115.46835,GoogleMaps Montebello and Barrow Islands,,,
EI0552,CD084,4.7,%,1.5,Results Impact of dredging on coral disease prevalence,2011,Dec,Methods Coral health and community composition surveys,"Montebello and Barrow Islands, Western Australia",Figure 1,Eastern Indian Ocean,Australia,-20.60599,115.46835,GoogleMaps Montebello and Barrow Islands,,,
EI0553,CD084,7.26,%,1.56,Results Impact of dredging on coral disease prevalence,2011,Dec,Methods Coral health and community composition surveys,"Montebello and Barrow Islands, Western Australia",Figure 1,Eastern Indian Ocean,Australia,-20.60599,115.46835,GoogleMaps Montebello and Barrow Islands,,,
EI0554,CD085,17,%,,Table 1,2001,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0555,CD085,11,%,,Table 1,2001,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0556,CD085,3,%,,Table 1,2001,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0557,CD085,21,%,,Table 1,2001,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0558,CD085,13,%,,Table 1,2001,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0559,CD085,4,%,,Table 1,2001,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0560,CD085,17,%,,Table 1,2002,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0561,CD085,10,%,,Table 1,2002,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0562,CD085,3,%,,Table 1,2002,Mar,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0563,CD085,22,%,,Table 1,2002,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0564,CD085,8,%,,Table 1,2002,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0565,CD085,1,%,,Table 1,2002,Aug,Table 1,"Gulf of Eilat, Red Sea",Material and Methods Field censuses,Western Indian Ocean,Middle East,29.50121,34.91748,GoogleMaps H. Steinitz Marine Laboratory,,,
EI0566,CD086,5.395349,%,1.1390603,Figure 6b,2002,Jun,Methods AGRRA surveys and disease monitoring p124,"Coral City, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0567,CD086,0,%,0,Figure 6b,2004,Feb,Methods AGRRA surveys and disease monitoring p124,"Coral City, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0568,CD086,4.186047,%,0.616991,Figure 6b,2002,Jun,Methods AGRRA surveys and disease monitoring p124,"Grundy's Gardens, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0569,CD086,0,%,0,Figure 6b,2004,Feb,Methods AGRRA surveys and disease monitoring p124,"Grundy's Gardens, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0570,CD086,3.906977,%,1.4475558,Figure 6b,2002,Jun,Methods AGRRA surveys and disease monitoring p124,"Jigsaw Puzzle, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0571,CD086,1.162791,%,0.3796868,Figure 6b,2004,Feb,Methods AGRRA surveys and disease monitoring p124,"Jigsaw Puzzle, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0572,CD086,5.581395,%,0.8542952,Figure 6b,2002,Jun,Methods AGRRA surveys and disease monitoring p124,"Sailfin, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0573,CD086,0.744186,%,0.403172,Figure 6b,2004,Feb,Methods AGRRA surveys and disease monitoring p124,"Sailfin, Little Cayman, Cayman Islands",Methods Measuring in the field Study site p124,Caribbean & Gulf of Mexico,Caribbean/Atlantic,19.69812,-80.03659,GoogleMaps Little Cayman,,,"Prevalence extracted using MetaDigitise in RStudio, n = "
EI0574,CD087,49,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0575,CD087,19.6,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0576,CD087,14,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0577,CD087,32.2,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0578,CD087,15,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0579,CD087,30,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0580,CD087,3,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0581,CD087,26,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0582,CD087,17,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0583,CD087,26,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0584,CD087,8.3,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Diploastrea
EI0585,CD087,24,%,,Table 3,2004,Aug,Materials and Methods,Wakatobi Island Chain,Materials and Methods,Coral Triangle & SE Asia,Southeast Asia,-5.54694,123.93089,GoogleMaps Wakatobi National Park,,,Fungia
EI0586,CD088,13.7,%,0.82,Table 1,2011,Jan-Feb,Table 1,Western Hawai'i,Figure 1,Western Pacific,Polynesia,19.57108,-155.96475,"GoogleMaps Keauhou Bay, HI",,,
EI0587,CD088,9.5,%,0.9,Table 1,2011,Jan-Feb,Table 1,Western Hawai'i,Figure 1,Western Pacific,Polynesia,19.57108,-155.96475,"GoogleMaps Keauhou Bay, HI",,,
EI0588,CD088,0.65,%,0.07,Table 1,2011,Jan-Feb,Table 1,Western Hawai'i,Figure 1,Western Pacific,Polynesia,19.57108,-155.96475,"GoogleMaps Keauhou Bay, HI",,,
EI0589,CD088,0.22,%,0.04,Table 1,2011,Jan-Feb,Table 1,Western Hawai'i,Figure 1,Western Pacific,Polynesia,19.57108,-155.96475,"GoogleMaps Keauhou Bay, HI",,,
EI0590,CD088,2.2,%,0.44,Table 1,2011,Jan-Feb,Table 1,Western Hawai'i,Figure 1,Western Pacific,Polynesia,19.57108,-155.96475,"GoogleMaps Keauhou Bay, HI",,,
